ID,Company Name,Activity Type,Date Start,Description,,
4021,ABCD Inc,&nbsp;, 26/Feb/23,dddddd,,
4020,Celestica,VC, 17/Feb/23,&nbsp;,,
4019,ABC Inc,VC, 15/Feb/23,Testing,,
3020,Fuji Electric (Malaysia) Sdn Bhd,Progress Meeting #2, 13/Feb/23,&nbsp;,,
3019,Fuji Electric (Malaysia) Sdn Bhd,VC, 10/Feb/23,Activitity description..,,
2020,YZ LLC,Meeting, 08/Feb/23,12222,,
2019,VWX Corp,Meeting, 04/Feb/23,&nbsp;,,
1015,ABC Inc,Meeting, 03/Feb/23,sdad,,
1007,MNO Corp,Site Visit, 31/Jan/23,Site Visit...,,
1008,ABC Inc,Meeting, 30/Jan/23,657567567,,
27,WXYZAB LLC,Discussionsssss, 26/Jan/23,Discussed potential business opportunities,,
1004,MNO Corp,dffgfdgdfg, 18/Jan/23,hhgjghj,,
29,JKLMNOP Corp,Virtual Conference, 04/Feb/22,Participated in virtual conference with company,,
28,CDEFGHI Inc,Phone Calls, 03/Feb/22,Follow-up call with company representative,,
26,RSTUVW Corp,Site Visits, 01/Feb/22,Visited companys head office,,
25,MNOPQR Inc,Meetings, 30/Jan/22,Meeting with companys management team,,
24,GHIJKL LLC,Hi-Teas, 29/Jan/22,Attended Hi-Tea with company representatives,,
23,ABCDEF Corp,Virtual Conference, 28/Jan/22,Participated in virtual conference with company,,
22,WXYZ Inc,Phone Calls, 27/Jan/22,Follow-up call with company representative,,
21,STUVW LLC,Discussions, 26/Jan/22,Discussed future collaboration with company,,
20,OPQR Corp,Site Visits, 25/Jan/22,Visited companys production facility,,
19,KLMN LLC,Meetings, 23/Jan/22,Meeting with companys top management,,
18,GHIJ Inc,Hi-Teas, 22/Jan/22,Attended Hi-Tea with company representatives,,
17,CDEF Corp,Virtual Conference, 21/Jan/22,Participated in virtual conference with company,,
16,YZAB LLC,Phone Calls, 20/Jan/22,Follow-up call with company representative,,
14,QRST LLC,Site Visits, 18/Jan/22,Visited companys head office,,
13,MNOP Corp,Meetings, 16/Jan/22,Meeting with companys management team,,
11,EFGH LLC,Virtual Conference, 14/Jan/22,Participated in virtual conference with company,,
10,ABCD Inc,Phone Calls, 13/Jan/22,Follow-up call with company representative,,
9,YZ LLC,Discussions, 12/Jan/22,Discussed future collaboration with company,,
8,VWX Corp,Site Visits, 11/Jan/22,Visited companys production facility,,
7,STU Inc,Meetings, 09/Jan/22,Meeting with company leadership team,,
6,PQR LLC,Hi-Teas, 08/Jan/22,Attended Hi-Tea with company representatives,,
4,JKL Inc,Phone Calls, 06/Jan/22,Follow-up call with company representative,,
3,GHI LLC,Discussions, 04/Jan/22,Discussed potential business opportunities,,
2,DEF Corp,Site Visitskkkkk, 03/Jan/22,Visited the company facilitykkkkk,,
